	Z	Ion	Initial Level	Final Level	Wavelength	Oscillator Strength	Einstein A Coefficient
23632	14	103	2	1	5.206650e+02	6.960000e-02	8.564000e+08
23633	14	103	3	1	4.994060e+02	1.458000e-01	9.750000e+08
23634	14	103	4	2	4.552100e+01	3.980000e-02	6.407000e+10
23635	14	103	4	3	4.569100e+01	8.160000e-02	1.304000e+11
23636	14	103	5	1	4.095100e+01	2.290000e-01	4.555000e+11
23637	14	103	6	1	4.091100e+01	4.526000e-01	4.510000e+11
23638	14	103	7	2	4.401900e+01	1.298000e+00	1.117000e+12
23639	14	103	7	3	4.417800e+01	2.604000e-01	2.225000e+11
23640	14	103	8	3	4.416500e+01	2.347000e+00	1.338000e+12
23641	14	103	9	2	3.322200e+01	8.400000e-03	2.539000e+10
23642	14	103	9	3	3.331300e+01	1.720000e-02	5.170000e+10
23643	14	103	10	1	3.102300e+01	5.960000e-02	2.066000e+11
23644	14	103	11	1	3.101200e+01	1.182000e-01	2.050000e+11
23645	14	103	12	2	3.288800e+01	2.466000e-01	3.802000e+11
23646	14	103	12	3	3.297700e+01	4.920000e-02	7.546000e+10
23647	14	103	13	3	3.297300e+01	4.444000e-01	4.545000e+11
23648	14	103	14	7	1.298900e+02	4.072000e+00	2.683000e+11
23649	14	103	14	8	1.300070e+02	2.907000e-01	1.913000e+10
23650	14	103	15	8	1.299800e+02	5.817000e+00	2.871000e+11
23651	14	103	16	2	2.957400e+01	3.400000e-03	1.297000e+10
23652	14	103	16	3	2.964500e+01	6.800000e-03	2.581000e+10
23653	14	103	17	1	2.790100e+01	2.500000e-02	1.071000e+11
23654	14	103	18	1	2.789700e+01	4.960000e-02	1.063000e+11
23655	14	103	19	2	2.943900e+01	9.180000e-02	1.767000e+11
23656	14	103	19	3	2.951000e+01	1.840000e-02	3.524000e+10
23657	14	103	20	3	2.950900e+01	1.652000e-01	2.109000e+11
23658	14	103	21	7	1.298000e+02	0.000000e+00	3.750000e+10
23659	14	103	21	8	1.298000e+02	0.000000e+00	5.700000e+10
23660	14	103	21	12	1.164210e+02	0.000000e+00	2.130000e+10
23661	14	103	21	13	4.100000e+02	0.000000e+00	3.190000e+10
23662	14	103	22	7	1.298000e+02	0.000000e+00	3.750000e+10
23663	14	103	22	8	1.298000e+02	0.000000e+00	5.700000e+10
23664	14	103	22	12	4.100000e+02	0.000000e+00	2.130000e+10
23665	14	103	22	13	4.100000e+02	0.000000e+00	3.190000e+10
23666	14	103	23	14	4.100000e+02	0.000000e+00	3.800000e+10
23667	14	103	23	15	4.100000e+02	0.000000e+00	5.060000e+10
23668	14	103	24	14	4.100000e+02	0.000000e+00	5.060400e+10
23669	14	103	26	2	6.902300e+00	1.040000e-02	7.260000e+11
23670	14	103	26	3	6.906200e+00	1.880000e-02	1.310000e+12
23671	14	103	27	1	6.790100e+00	1.330000e-04	9.639999e+09
23672	14	103	28	1	6.788500e+00	7.080000e-04	2.560000e+10
23673	14	103	29	1	6.784370e+00	0.000000e+00	3.499000e+07
23674	14	103	30	1	6.719600e+00	4.450000e-01	3.290000e+13
23675	14	103	31	1	6.717600e+00	9.460000e-01	3.500000e+13
23676	14	103	32	2	6.783700e+00	2.940000e-04	2.130000e+10
23677	14	103	32	3	6.787400e+00	1.360000e-05	9.830000e+08
23678	14	103	33	2	6.782000e+00	6.530000e-06	2.370000e+08
23679	14	103	33	3	6.785800e+00	6.930000e-04	2.510000e+10
23680	14	103	34	3	6.783300e+00	1.870000e-03	4.520000e+10
23681	14	103	35	1	6.686600e+00	6.650000e-02	4.960000e+12
23682	14	103	36	1	6.685400e+00	7.550000e-02	2.820000e+12
23683	14	103	37	2	6.736500e+00	5.020000e-01	1.850000e+13
23684	14	103	37	3	6.740200e+00	1.590000e-02	5.820000e+11
23685	14	103	38	3	6.739800e+00	7.450000e-01	1.820000e+13
23686	14	103	39	2	6.725600e+00	5.270000e-01	3.890000e+13
23687	14	103	39	3	6.729300e+00	2.390000e-01	1.760000e+13
23688	14	103	40	2	6.722200e+00	1.680000e-01	6.210000e+12
23689	14	103	40	3	6.725900e+00	1.350000e+00	4.960000e+13
23690	14	103	41	2	6.673900e+00	5.890000e-02	4.410000e+12
23691	14	103	41	3	6.677600e+00	1.690000e-01	1.270000e+13
